 start, end,side
 158, 190,0
 472, 541,0
 689, 760,0
 961, 1074,0
 1322, 1346,0
 1533, 1539,0
 1700, 1767,0
 1922, 1970,0
 2158, 2195,0
 2349, 2379,0
 2559, 2585,0
 2758, 2790,0
 2958, 3025,0
 3196, 3234,0
 3376, 3410,0
 3612, 3640,0
 3815, 3874,0
 4041, 4094,0
 4251, 4275,0
 4454, 4493,0
 4656, 4695,0
 4847, 4887,0
 5003, 5029,0
 5175, 5221,0
 5415, 5444,0
 5549, 5587,0
 5719, 5745,0
 5841, 5874,0
 6065, 6102,0
 6243, 6284,0
 6437, 6503,0
 6615, 6655,0
 6865, 6895,0
 7082, 7106,0
 7208, 7249,0
 7415, 7455,0
 7651, 7682,0
 7779, 7836,0
 7997, 8021,0
 8145, 8184,0
