Start,End,Section
266,284,1
377,400,2
472,500,3
599,628,4
709,736,1
810,832,2
904,925,3
1013,1032,4
1111,1126,1
1196,1214,2
1292,1314,3
1379,1400,4
1510,1538,1
1621,1644,2
1718,1738,3
1827,1851,4
1956,1979,1
2063,2090,2
2175,2201,3
2303,2323,4
2402,2419,1
2522,2539,2
2619,2649,3
2748,2771,4
2871,2891,1
2971,2990,2
3101,3116,3
3195,3212,4
3293,3337,1
3455,3467,2
3570,3588,3
3690,3711,4
3812,3826,1
3917,3933,2
4024,4045,3
4131,4151,4
4244,4264,1
4353,4369,2
4430,4457,3
4541,4558,4
