START,END,AREA
263,363,1
633,713,2
895,975,3
1105,1185,4
1375,1455,1
1655,1725,2
1885,1955,3
2105,2175,4
2335,2395,1
2595,2650,2
2845,2920,3
3165,3220,4
3445,3515,1
3760,3815,2
4095,4150,3
4415,4475,4
4725,4785,1
5105,5175,2
5375,5435,3
5765,5855,4
6065,6110,1
6365,6410,2
6675,6725,3
6925,6975,4
6255,7310,1
7485,7540,2
7755,7815,3
8075,8135,4
8315,7475,1
8595,8645,2
8995,9045,3
9325,9385,4
9645,9700,1
9925,9975,2
10405,10460,3
10625,10680,4
11025,11085,1
11315,11375,2
11655,11105,3
11955,12005,4
