                      Neural Network,,,,                    Support Vector Machine,,,,                 Decision Tree Algorithm,,,
Precision,Recall,F1,AUC,Precision,Recall ,F1,AUC,Precision,Recall ,F1,AUC
0.9589,1,0.97902,0.99913,0.87879,1,0.93548,0.93579,0.90625,1,0.95082,0.99786
0.96512,1,0.98225,0.97928,0.94444,1,0.97143,0.94637,0.94286,0.97059,0.95652,0.9783
0.9759,0.9878,0.98182,0.98903,0.94286,1,0.97059,0.9596,0.94286,1,0.97059,0.98126
0.9759,0.9878,0.98182,0.98254,0.91667,1,0.95652,0.9511,0.91667,1,0.95652,0.98976
0.94643,0.89831,0.92174,0.96919,0.67647,0.95833,0.7931,0.80208,0.71429,0.83333,0.76923,0.94183
1,0.97561,0.98765,0.9997,0.94286,1,0.97059,0.94949,0.94118,0.9697,0.95522,0.99955
0.96386,0.97561,0.9697,0.97602,0.94286,1,0.97059,0.94123,0.94118,0.9697,0.95522,0.98085
0.96429,0.9878,0.9759,0.97412,0.91667,1,0.95652,0.941,0.94286,1,0.97059,0.99331
1,0.87805,0.93506,0.98716,0.94286,1,0.97059,0.97245,0.86842,1,0.92958,0.97667
0.97619,1,0.98795,0.99822,0.94286,1,0.97059,0.94399,0.94286,1,0.97059,0.98215
0.825,0.80488,0.81481,0.89552,0.6875,1,0.81481,0.81657,0.6875,0.66667,0.67692,0.89147
0.9759,0.9878,0.98182,0.98569,0.94286,1,0.97059,0.95592,0.94286,1,0.97059,0.98063
0.87778,0.96341,0.9186,0.97717,0.80488,1,0.89189,0.92883,0.72727,0.9697,0.83117,0.98438
0.9759,0.9878,0.98182,0.98933,0.94286,1,0.97059,0.95133,0.94118,0.9697,0.95522,0.97338
1,0.97561,0.98765,0.99881,0.94286,1,0.97059,0.99725,0.94286,1,0.97059,0.99836
0.96923,0.76829,0.85714,0.96246,0.93548,0.87879,0.90625,0.97704,0.9375,0.90909,0.92308,0.97942
0.96386,0.97561,0.9697,0.9903,0.94118,0.9697,0.95522,0.93916,0.93939,0.93939,0.93939,0.99074
0.96471,1,0.98204,0.98888,0.94286,1,0.97059,0.94215,0.91667,1,0.95652,0.9984
0.9759,0.9878,0.98182,0.97,0.94286,1,0.97059,0.94215,0.94286,1,0.97059,0.95706
0.93902,0.93902,0.93902,0.96156,0.93939,0.93939,0.93939,0.98163,0.93939,0.93939,0.93939,0.99911
0.97619,1,0.98795,0.99955,0.94286,1,0.97059,0.99357,0.94286,1,0.97059,0.99926
0.97619,1,0.98795,0.99911,0.94286,1,0.97059,0.94399,0.91429,0.9697,0.94118,0.98658
0.94872,0.94872,0.94872,0.9814,0.94118,1,0.9697,0.9486,0.7561,0.96875,0.84932,0.87148
0.81319,0.90244,0.85549,0.93051,0.93333,0.84848,0.88889,0.92677,0.88889,0.9697,0.92754,0.95981
0.9759,0.9878,0.98182,0.98829,0.94286,1,0.97059,0.99725,1,0.93939,0.96875,0.97524
0.92958,0.80488,0.86275,0.94099,0.94286,1,0.97059,0.94215,0.91176,0.93939,0.92537,0.88076
0.94253,1,0.97041,0.97446,0.94286,1,0.97059,0.94123,0.94118,0.9697,0.95522,0.97568
0.975,0.96296,0.96894,0.99493,0.94286,1,0.97059,0.96235,0.86842,1,0.92958,0.99947
0.96471,1,0.98204,0.99862,0.94286,1,0.97059,0.99816,0.94286,1,0.97059,0.9997
1,0.96341,0.98137,0.99342,0.94286,1,0.97059,0.95225,0.91667,1,0.95652,0.99732
0.97561,0.97561,0.97561,0.99673,0.94118,0.9697,0.95522,0.94421,0.91429,0.9697,0.94118,0.99197
0.97561,0.97561,0.97561,0.9881,0.93939,0.93939,0.93939,0.96694,0.93939,0.93939,0.93939,0.99866
0.96053,0.9359,0.94805,0.97932,0.94118,1,0.9697,0.95801,0.94118,1,0.9697,0.99966
